data;

# SNodes: 20, SEdges: 19

set SNodes := A B C D E F G H I J K L M N O P Q R S T ;

param cpuSup := 
A 100
B 100
C 100
D 100
E 100
F 100
G 100
H 100
I 100
J 100
K 100
L 100
M 100
N 100
O 100
P 100
Q 100
R 100
S 100
T 100
;

param secSupNode := 
A 0
B 0
C 0
D 0
E 0
F 0
G 0
H 0
I 0
J 0
K 0
L 0
M 0
N 0
O 0
P 0
Q 0
R 0
S 0
T 0
;

param bwSup:
  A B C D E F G H I J K L M N O P Q R S T :=
A 0 1000 0 1000 1000 0 0 1000 1000 1000 1000 1000 1000 1000 1000 0 0 0 0 0 
B 1000 0 1000 0 0 1000 1000 0 0 0 0 0 0 0 0 0 0 0 0 0 
C 0 1000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
D 1000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1000 0 0 0 
E 1000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1000 0 0 0 0 
F 0 1000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
G 0 1000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
H 1000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1000 1000 
I 1000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1000 0 0 
J 1000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
K 1000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
L 1000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
M 1000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
N 1000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
O 1000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
P 0 0 0 0 1000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
Q 0 0 0 1000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
R 0 0 0 0 0 0 0 0 1000 0 0 0 0 0 0 0 0 0 0 0 
